,Unnamed: 0,SYMBOL,MARKET_CAP,INDUSTRY,SECTOR,MACRO,FNO,P/E,Mar Cap Rs.Cr.,Qtr Sales Var %,Qtr Profit Var %,QoQ Sales %,QoQ Profits %,Prom. Hold. %,DII Hold %,FII Hold %,Exp Qtr Sales Var %,RSI Rs.,MACD Signal Rs.,Change in Prom Hold %,ROCE
354,354,JAIBALAJI,14628.0,Ferrous Metals,Metals & Mining,Commodities,False,24.22,14377.04,0.13,740.56,-0.49,16.4,60.8,0.0,3.29,11.0,32.96,-3.3,0.78,18.28
355,355,RBLBANK,14625.0,Banks,Financial Services,Financial Services,True,13.5,14667.62,27.77,11.54,6.1,-20.74,0.0,19.34,28.27,28.68,45.81,-7.16,0.0,5.46
356,356,FINPIPE,14491.0,Industrial Products,Capital Goods,Industrials,False,32.33,14618.44,-9.34,23.78,15.46,-4.87,52.47,11.95,6.45,-11.48,60.67,-0.21,0.0,6.13
357,357,J&KBANK,14381.0,Banks,Financial Services,Financial Services,False,,,,,,,,,,,,,,
358,358,ARE&M,14231.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,False,,,,,,,,,,,,,,
359,359,CENTURYPLY,14222.0,Consumer Durables,Consumer Durables,Consumer Discretionary,False,39.27,14176.86,6.07,-23.81,-5.96,-35.48,73.04,14.75,5.45,5.93,34.06,-23.15,0.0,27.05
360,360,GESHIP,14148.0,Transport Services,Services,Services,False,5.84,14204.62,-12.38,-14.2,1.31,-9.5,30.07,16.39,26.75,8.46,53.55,5.34,0.0,20.87
361,361,BASF,14007.0,Chemicals & Petrochemicals,Chemicals,Commodities,False,29.55,13977.26,14.77,1216.35,-10.26,-6.06,73.33,6.63,3.81,0.48,50.04,10.49,0.0,20.12
362,362,CLEAN,13978.0,Chemicals & Petrochemicals,Chemicals,Commodities,False,54.62,13889.98,-17.96,-25.25,7.51,20.0,74.98,5.13,5.92,-13.77,36.66,-31.81,0.0,44.5
363,363,WELCORP,13973.0,Industrial Products,Capital Goods,Industrials,False,13.01,14024.04,97.71,1156.93,17.0,-24.02,49.96,11.23,10.56,127.44,51.04,-10.53,0.0,6.42
364,364,JINDALSAW,13973.0,Industrial Products,Capital Goods,Industrials,False,9.91,13918.9,9.65,257.24,3.47,43.91,63.26,2.27,15.22,25.3,43.99,-18.98,0.0,11.04
365,365,VGUARD,13958.0,Consumer Durables,Consumer Durables,Consumer Discretionary,False,70.56,13975.15,10.18,30.15,0.6,-10.33,54.57,20.45,13.01,9.06,49.89,3.91,-1.05,14.47
366,366,DCMSHRIRAM,13848.0,Diversified,Diversified,Diversified,False,26.83,13844.56,-6.2,-29.7,12.08,645.91,66.52,8.37,3.41,-3.86,37.64,-26.19,0.0,19.05
367,367,SOBHA,13838.0,Realty,Realty,Consumer Discretionary,False,154.52,14009.21,-21.11,-52.59,-7.6,0.87,52.28,17.23,11.13,37.73,55.53,-16.67,0.0,8.32
368,368,CHAMBLFERT,13806.0,Fertilizers & Agrochemicals,Chemicals,Commodities,True,10.82,13776.43,-47.58,41.83,-19.25,20.59,60.71,6.68,13.9,-26.77,43.54,-4.02,0.15,16.05
369,369,WELSPUNLIV,13800.0,Textiles & Apparels,Textiles,Consumer Discretionary,False,20.84,13765.67,28.98,317.13,-3.91,-10.66,70.5,5.35,7.25,14.59,42.59,-1.99,0.0,6.01
370,370,BLUEDART,13715.0,Transport Services,Services,Services,False,47.13,13792.23,3.43,0.26,4.41,21.67,75.0,11.76,5.29,0.89,43.76,-189.35,0.0,26.34
371,371,AEGISCHEM,13689.0,Gas,Oil Gas & Consumable Fuels,Energy,False,26.62,13674.96,-10.23,3.82,51.71,1.47,58.1,5.08,17.97,-10.76,44.89,-2.55,0.0,15.9
372,372,ZEEL,13673.0,Entertainment,Media Entertainment & Publication,Consumer Discretionary,True,62.85,13682.6,-2.99,-58.91,-16.08,-52.39,3.98,43.42,28.19,4.64,34.64,-12.06,0.0,7.94
373,373,FINCABLES,13655.0,Industrial Products,Capital Goods,Industrials,False,24.3,13608.54,6.2,-5.28,2.88,-22.76,35.92,15.93,11.06,9.16,38.49,-37.1,0.0,18.51
374,374,ALOKINDS,13555.0,Textiles & Apparels,Textiles,Consumer Discretionary,False,,13579.93,-27.05,7.97,-8.69,-31.51,75.0,0.37,2.24,-24.17,44.35,-0.48,0.0,-6.86
375,375,FSL,13424.0,Commercial Services & Supplies,Services,Services,False,25.94,13554.31,6.09,-18.48,3.68,1.75,53.66,18.16,9.89,3.58,46.9,-2.33,0.0,15.07
376,376,ZENSARTECH,13383.0,IT - Software,Information Technology,Information Technology,False,21.89,13374.21,0.54,111.37,-2.96,-7.02,49.2,16.45,17.12,2.02,58.97,4.06,0.0,14.51
377,377,BLS,13380.0,Leisure Services,Consumer Services,Consumer Discretionary,False,47.03,13352.76,0.0,24.72,7.39,6.33,71.52,0.89,7.56,33.26,41.79,-11.03,0.0,31.6
378,378,MGL,13256.0,Gas,Oil Gas & Consumable Fuels,Energy,True,10.23,13231.28,-6.14,84.33,-0.14,-6.3,32.5,17.23,30.85,12.34,46.78,-35.18,0.0,26.79
379,379,HFCL,13237.0,Telecom - Services,Telecommunication,Telecommunication,False,45.13,13159.0,-4.93,-14.45,-7.12,17.47,37.84,4.55,8.18,3.07,43.83,-2.53,0.0,15.17
380,380,ABSLAMC,13115.0,Capital Markets,Financial Services,Financial Services,False,18.56,13131.14,8.73,25.89,1.93,17.55,86.47,5.21,1.74,2.96,34.16,-2.04,-0.01,33.13
381,381,CHENNPETRO,13074.0,Petroleum Products,Oil Gas & Consumable Fuels,Energy,False,4.21,13069.95,8.23,151.83,5.02,-69.76,67.29,1.24,14.7,-7.04,50.2,-4.37,0.0,45.54
382,382,PVRINOX,13061.0,Entertainment,Media Entertainment & Publication,Consumer Discretionary,True,,13048.94,64.46,-19.5,-22.7,-92.3,27.84,39.22,21.83,109.3,43.78,-30.52,0.0,3.28
383,383,VOLTAMP,13001.0,Electrical Equipment,Capital Goods,Industrials,False,31.42,9124.88,14.27,86.39,7.1,38.24,38.0,28.69,23.23,16.54,62.47,172.43,0.0,25.07
384,384,DATAPATTNS,12989.0,Aerospace & Defense,Capital Goods,Industrials,False,78.55,13035.03,24.77,52.97,28.81,50.84,42.41,9.15,6.74,19.72,49.67,76.48,0.0,19.6
385,385,KSB,12935.0,Industrial Products,Capital Goods,Industrials,False,62.12,12964.11,14.87,-1.79,6.9,9.58,66.69,10.13,4.5,23.82,49.95,-16.12,0.0,23.3
386,386,ASAHIINDIA,12932.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,False,40.34,12903.75,3.37,-24.55,-6.78,-27.47,54.23,1.91,3.71,11.41,52.85,-6.5,-0.01,20.53
387,387,BEML,12885.0,Agricultural Commercial & Construction Vehicles,Capital Goods,Industrials,False,70.46,12871.13,0.96,-27.3,14.2,-6.93,54.03,18.97,9.12,-4.73,51.96,-62.14,0.0,10.48
388,388,HBLPOWER,12855.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,False,54.39,12889.56,80.23,252.17,7.67,15.45,59.11,0.41,2.66,57.16,46.59,-14.63,0.0,13.74
389,389,ASTRAZEN,12750.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,False,80.42,12826.0,22.41,-46.08,-1.7,-69.83,75.0,2.76,2.66,26.09,38.78,-179.63,0.0,30.91
390,390,IIFL,12725.0,Finance,Financial Services,Financial Services,False,7.07,12753.26,24.83,29.64,6.94,3.74,24.79,8.27,31.27,20.88,21.67,-58.48,-0.02,11.54
391,391,GRINFRA,12686.0,Construction,Construction,Industrials,False,10.92,12663.84,-2.64,-25.01,13.34,11.84,79.74,15.86,0.57,-4.58,63.26,9.55,0.0,21.62
392,392,VTL,12680.0,Textiles & Apparels,Textiles,Consumer Discretionary,False,21.54,12703.45,-1.73,56.47,-2.83,18.92,64.13,16.84,6.37,-7.56,55.9,0.74,0.02,11.49
393,393,FINEORG,12589.0,Chemicals & Petrochemicals,Chemicals,Commodities,False,28.21,12605.08,-35.7,-11.32,-9.64,-8.86,75.0,11.84,3.58,-25.93,36.58,-87.83,0.0,65.34
394,394,RAINBOW,12578.0,Healthcare Services,Healthcare,Healthcare,False,57.69,12670.96,9.65,7.27,0.99,-0.92,49.83,15.62,22.32,21.2,55.13,-22.03,0.0,24.1
395,395,KIRLOSENG,12473.0,Industrial Products,Capital Goods,Industrials,False,31.88,12555.35,13.9,26.41,6.53,14.65,41.23,24.37,9.06,17.2,55.92,7.68,0.0,13.44
396,396,CGCL,12455.0,Finance,Financial Services,Financial Services,False,63.73,16680.29,57.23,81.67,8.58,4.2,69.89,14.15,0.81,63.27,38.49,-4.68,-0.02,8.98
397,397,RKFORGE,12293.0,Industrial Products,Capital Goods,Industrials,False,39.0,12326.22,36.05,42.3,7.77,5.67,43.14,3.62,23.59,26.92,45.49,-22.62,-4.28,18.53
398,398,BIKAJI,12282.0,Food Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,False,63.93,12264.97,22.0,30.07,2.56,-19.93,75.18,13.96,6.89,14.34,37.19,-12.75,-0.03,17.67
399,399,SPARC,12250.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,False,,12227.97,-89.43,-1081.77,-34.56,-15.31,65.67,0.67,3.3,18.06,54.63,1.44,0.0,-106.19
400,400,IEX,12123.0,Capital Markets,Financial Services,Financial Services,True,36.8,12113.65,14.98,25.5,6.24,7.8,0.0,26.34,13.37,7.81,40.53,-2.32,0.0,51.79
401,401,GRAPHITE,12072.0,Industrial Products,Capital Goods,Industrials,False,257.87,12047.84,-1.57,-70.76,-12.99,-97.88,65.34,10.63,4.27,-5.66,54.65,10.95,0.0,7.2
402,402,HONASA,12062.0,Personal Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,False,1298.56,11985.69,27.06,90.83,-2.02,-23.4,35.34,17.58,10.12,,28.29,-15.8,,7.5
403,403,SWSOLAR,12035.0,Construction,Construction,Industrials,False,,12035.23,43.23,37.08,-23.26,-14.46,52.98,9.75,11.91,49.39,44.53,-12.94,-14.58,-65.41
404,404,AMBER,11978.0,Consumer Durables,Consumer Durables,Consumer Discretionary,False,83.43,11971.05,-3.97,-103.39,39.66,90.97,40.31,14.67,28.29,24.6,47.92,-117.9,0.0,10.71
405,405,TITAGARH,11931.0,Industrial Manufacturing,Capital Goods,Industrials,False,46.73,11930.75,24.57,135.78,2.06,5.99,42.46,12.27,20.04,80.11,45.5,-35.0,-2.51,17.58
406,406,HAPPSTMNDS,11854.0,IT - Software,Information Technology,Information Technology,False,48.89,11840.89,7.49,37.89,0.15,46.4,50.24,2.41,5.05,12.96,34.33,-16.13,-1.11,27.37
407,407,RAYMOND,11817.0,Textiles & Apparels,Textiles,Consumer Discretionary,False,6.92,11878.75,10.05,92.35,5.89,15.03,49.1,7.88,14.39,6.82,53.81,-12.59,0.0,21.38
408,408,WESTLIFE,11807.0,Leisure Services,Consumer Services,Consumer Discretionary,False,134.06,11868.3,-1.83,-52.6,-2.36,-22.93,56.23,23.99,10.48,10.3,49.11,-17.45,0.01,14.76
409,409,ECLERX,11791.0,Commercial Services & Supplies,Services,Services,False,22.96,11817.32,9.62,6.7,4.29,2.17,53.61,22.91,11.81,12.08,47.23,-31.16,0.0,36.47
410,410,TEJASNET,11735.0,Telecom - Equipment & Accessories,Telecommunication,Telecommunication,False,,11726.08,103.96,-196.17,41.42,-254.98,55.8,4.35,11.26,97.06,39.87,-15.55,-0.12,-1.2
411,411,RHIM,11664.0,Industrial Products,Capital Goods,Industrials,False,62.68,11785.04,7.54,-12.1,-3.6,-19.18,56.07,13.76,3.67,12.31,46.0,-34.33,0.0,14.58
412,412,SPLPETRO,11565.0,Chemicals & Petrochemicals,Chemicals,Commodities,False,31.11,11658.56,0.62,-24.69,-7.04,-13.31,64.24,2.62,2.46,-5.23,43.14,-5.19,0.0,37.43
413,413,RAILTEL,11539.0,Telecom - Services,Telecommunication,Telecommunication,False,53.21,11561.81,47.11,94.49,11.55,-8.82,72.84,3.39,1.45,43.23,43.76,-8.84,0.0,16.03
414,414,MAHSEAMLES,11497.0,Industrial Products,Capital Goods,Industrials,False,10.42,11487.77,6.92,72.93,-6.78,10.19,67.86,4.19,10.5,6.21,41.92,-22.74,0.0,19.82
415,415,ERIS,11467.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,False,30.26,11466.5,14.89,1.23,-3.76,-17.05,54.9,14.55,13.13,17.66,41.19,-9.04,0.0,16.73
416,416,GMDCLTD,11432.0,Minerals & Mining,Metals & Mining,Commodities,False,13.25,11430.51,-34.04,-56.1,47.43,56.63,74.0,0.89,1.76,-24.63,41.42,-18.81,0.0,31.31
417,417,TANLA,11404.0,IT - Software,Information Technology,Information Technology,False,21.23,11430.43,15.29,20.27,-0.6,-1.7,44.15,0.9,15.46,11.91,37.39,-41.17,-0.01,37.91
418,418,INGERRAND,11207.0,Industrial Products,Capital Goods,Industrials,False,49.71,11215.32,3.13,14.85,19.15,10.8,75.0,5.18,1.44,15.06,51.34,59.8,0.0,43.55
419,419,AKZOINDIA,11180.0,Consumer Durables,Consumer Durables,Consumer Discretionary,False,27.13,11214.3,4.65,16.84,7.99,20.81,74.76,8.56,3.2,6.02,45.72,-75.25,0.0,34.71
420,420,BIRLACORPN,11145.0,Cement & Cement Products,Construction Materials,Commodities,False,37.37,11157.59,14.68,318.67,1.14,86.98,62.9,16.17,6.45,11.68,39.15,-36.3,0.0,3.73
421,421,ENGINERSIN,11030.0,Construction,Construction,Industrials,False,21.25,11046.94,3.02,292.99,9.85,-50.3,51.32,15.51,7.6,2.79,45.56,-6.37,0.0,23.69
422,422,PNCINFRA,10995.0,Construction,Construction,Industrials,False,16.72,11028.62,13.5,32.44,7.08,25.08,56.07,27.24,10.98,6.24,53.25,0.1,0.0,14.78
423,423,BBTC,10982.0,Food Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,False,17.22,10987.68,1.32,429.49,-4.14,77.65,74.05,1.25,8.48,5.27,42.55,-21.92,0.0,15.52
424,424,NUVOCO,10927.0,Cement & Cement Products,Construction Materials,Commodities,False,16.76,10945.05,-7.05,141.21,-5.91,1928.1,71.79,19.97,3.05,1.62,38.14,-10.72,0.0,1.93
425,425,RELINFRA,10913.0,Power,Power,Utilities,False,,10986.7,13.29,-222.6,-35.05,-65.3,16.5,2.64,12.69,5.36,65.56,3.9,-0.06,8.95
426,426,JPPOWER,10828.0,Power,Power,Utilities,False,,,,,,,,,,,,,,
427,427,JKTYRE,10791.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,False,15.03,10827.85,2.07,201.79,-5.38,-8.67,53.13,5.79,12.21,4.36,30.86,-12.56,-3.13,11.13
428,428,BAJAJELEC,10698.0,Consumer Durables,Consumer Durables,Consumer Discretionary,False,59.87,10683.86,-6.06,-41.25,10.43,13.4,62.85,12.11,10.41,-4.6,36.73,-18.75,0.0,18.48
429,429,NEWGEN,10693.0,IT - Software,Information Technology,Information Technology,False,50.32,10691.89,27.24,42.59,13.23,49.61,55.07,9.73,15.14,31.35,48.76,-14.57,-0.09,23.95
430,430,AAVAS,10693.0,Finance,Financial Services,Financial Services,False,22.6,10732.14,23.53,8.74,2.29,-4.17,39.1,15.29,32.32,26.16,40.4,-24.68,-0.01,9.51
431,431,DBREALTY,10648.0,Realty,Realty,Consumer Discretionary,False,8.84,10685.87,-77.07,176.93,109.94,-48.24,47.44,0.51,6.92,86.44,26.61,-7.69,-6.39,-11.66
432,432,UTIAMC,10628.0,Capital Markets,Financial Services,Financial Services,False,15.42,10620.64,52.14,207.25,11.13,11.25,0.0,61.13,5.57,29.84,42.06,-15.63,0.0,15.88
433,433,LEMONTREE,10576.0,Leisure Services,Consumer Services,Consumer Discretionary,False,83.72,10505.19,23.61,-11.43,27.06,65.93,23.21,15.0,22.82,42.37,47.1,-1.25,-0.07,10.13
434,434,AETHER,10567.0,Chemicals & Petrochemicals,Chemicals,Commodities,False,82.2,10635.83,-7.04,-31.99,-5.37,-49.58,81.79,11.79,1.97,9.56,36.01,-14.73,-0.02,18.44
435,435,EQUITASBNK,10526.0,Banks,Financial Services,Financial Services,False,13.48,10531.75,34.36,18.73,5.14,1.95,0.0,45.64,19.61,33.24,36.06,-2.72,0.0,8.04
436,436,CEATLTD,10456.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,False,15.62,10488.71,8.65,415.29,-2.95,-12.73,47.21,14.29,19.99,7.27,43.99,-43.54,0.0,9.38
437,437,INOXINDIA,10429.0,Industrial Products,Capital Goods,Industrials,False,69.02,10458.68,19.13,19.44,13.09,5.06,75.0,6.48,4.65,,52.45,27.11,,37.15
438,438,GRANULES,10417.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,True,26.41,10440.03,0.82,1.06,-2.85,23.04,41.96,10.16,18.78,4.61,47.0,-2.54,0.0,19.43
439,439,PTCIL,10385.0,Industrial Products,Capital Goods,Industrials,False,282.25,10358.42,-2.62,32.68,-3.58,-0.74,63.99,0.44,3.78,22.67,43.59,-39.22,-3.04,12.18
440,440,ELECON,10371.0,Industrial Manufacturing,Capital Goods,Industrials,False,32.28,10325.2,21.79,44.09,-2.34,2.07,59.29,2.64,5.96,25.15,48.63,-35.96,0.0,24.9
441,441,SFL,10324.0,Consumer Durables,Consumer Durables,Consumer Discretionary,False,60.19,10295.81,15.5,-49.2,43.33,-29.68,65.48,24.99,6.12,-0.53,29.77,-37.73,0.0,13.59
442,442,ANANTRAJ,10291.0,Realty,Realty,Consumer Discretionary,False,44.86,10321.71,47.59,58.17,18.05,18.32,60.16,3.48,11.17,52.05,41.12,-6.91,-3.15,5.77
443,443,KFINTECH,10272.0,Capital Markets,Financial Services,Financial Services,False,45.4,10378.01,16.26,25.2,4.67,8.88,39.05,24.64,12.13,10.75,46.65,-5.19,-10.07,29.34
444,444,SAPPHIRE,10129.0,Leisure Services,Consumer Services,Consumer Discretionary,False,54.58,10119.45,11.65,-69.86,3.57,-35.41,31.3,31.69,29.98,14.66,67.61,16.42,-10.38,9.81
445,445,JKLAKSHMI,10093.0,Cement & Cement Products,Construction Materials,Commodities,False,24.03,10071.38,9.03,80.6,8.15,56.62,46.31,27.57,10.83,11.2,45.07,-19.2,0.0,14.25
446,446,ROUTE,10047.0,Telecom - Services,Telecommunication,Telecommunication,False,26.74,10049.62,3.91,14.23,0.96,28.62,58.15,5.99,21.59,29.27,54.04,-4.39,0.0,22.03
447,447,CUB,10029.0,Banks,Financial Services,Financial Services,True,10.25,10032.4,10.0,16.15,1.7,-9.83,0.0,32.39,26.6,13.05,53.2,-2.12,0.0,6.01
448,448,RPOWER,10023.0,Power,Power,Utilities,False,,10023.41,3.21,-420.46,-5.15,-378.11,23.24,4.94,13.16,0.39,61.05,-0.98,-1.25,3.42
449,449,EIDPARRY,10012.0,Fertilizers & Agrochemicals,Chemicals,Commodities,False,11.68,10022.64,-21.62,-52.88,-14.23,-72.31,42.23,4.92,8.71,-7.05,41.37,-9.76,-2.28,27.36
450,450,MAPMYINDIA,9997.0,IT - Software,Information Technology,Information Technology,False,78.43,9986.28,28.44,8.31,-4.31,-5.16,52.91,4.29,5.98,21.8,57.15,-38.85,-0.02,28.96
451,451,CANFINHOME,9943.0,Finance,Financial Services,Financial Services,True,14.06,9947.94,27.02,32.11,3.47,26.61,29.99,28.46,11.06,32.42,45.58,-14.06,0.0,8.36
452,452,MMTC,9930.0,Commercial Services & Supplies,Services,Services,False,104.73,9945.0,-99.9,-41.83,-100.35,7.05,89.93,2.43,0.0,-53.15,39.0,-2.8,0.0,23.01
453,453,IFCI,9921.0,Finance,Financial Services,Financial Services,False,,9921.11,30.78,-80.16,-25.11,-77.44,70.32,2.02,2.08,22.58,41.18,-2.47,0.0,5.38
454,454,ALKYLAMINE,9912.0,Chemicals & Petrochemicals,Chemicals,Commodities,False,62.52,9945.84,-17.07,-26.85,-8.55,22.72,71.96,1.07,2.94,-11.51,31.53,-68.63,0.0,27.87
455,455,PCBL,9890.0,Chemicals & Petrochemicals,Chemicals,Commodities,False,20.57,9910.28,21.52,52.4,11.44,20.48,51.41,6.25,7.12,5.86,45.81,-13.02,0.0,16.92
456,456,INFIBEAM,9849.0,Financial Technology (Fintech),Financial Services,Financial Services,False,67.57,9807.66,119.91,15.32,15.45,0.84,28.13,0.1,6.31,86.79,48.95,0.96,-1.0,5.53
457,457,PRAJIND,9790.0,Industrial Manufacturing,Capital Goods,Industrials,False,34.98,9777.94,-9.09,13.02,-6.09,12.91,32.81,13.09,17.37,4.06,62.84,-5.89,-0.01,30.95
458,458,RTNINDIA,9766.0,Commercial Services & Supplies,Services,Services,False,23.45,9793.38,43.43,647.01,18.6,33.36,74.86,0.05,8.13,1930.29,41.6,-3.22,0.0,3.12
459,459,ELECTCAST,9749.0,Industrial Products,Capital Goods,Industrials,False,16.17,9736.66,0.95,235.8,-2.6,50.83,46.22,0.47,17.49,5.93,53.55,-2.67,2.14,9.99
460,460,MINDACORP,9728.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,False,34.77,9680.33,9.13,0.44,-2.51,-10.69,64.84,16.81,3.73,8.19,50.54,-4.28,0.0,16.47
461,461,ANURAS,9716.0,Chemicals & Petrochemicals,Chemicals,Commodities,False,63.14,9746.79,-24.62,-57.1,-24.64,-46.57,61.41,2.51,9.13,13.1,37.17,-5.09,0.68,12.57
462,462,TTKPRESTIG,9661.0,Consumer Durables,Consumer Durables,Consumer Discretionary,False,42.96,9705.06,6.28,6.91,1.22,4.27,70.41,14.61,6.72,-6.22,33.39,-15.76,0.0,18.14
463,463,LATENTVIEW,9627.0,IT - Software,Information Technology,Information Technology,False,65.25,9632.19,13.99,-11.34,6.43,36.7,65.42,2.45,2.54,18.53,45.16,-9.94,-0.32,16.71
464,464,CAPLIPOINT,9622.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,False,22.06,9634.73,17.05,20.34,6.2,3.17,70.62,0.43,2.84,15.08,30.95,-43.34,-0.01,26.32
465,465,STARCEMENT,9608.0,Cement & Cement Products,Construction Materials,Commodities,False,30.93,9389.11,5.54,39.06,11.3,80.77,66.48,6.02,1.05,7.98,72.43,2.45,-0.07,16.8
466,466,GPPL,9584.0,Transport Infrastructure,Services,Services,False,25.7,9567.28,8.17,22.69,6.74,2.41,44.01,20.01,19.81,7.72,51.79,2.74,0.0,20.65
467,467,NETWORK18,9569.0,Entertainment,Media Entertainment & Publication,Consumer Discretionary,False,,9569.11,-4.15,-758.5,-4.92,2.97,75.0,0.53,3.48,57.08,43.03,-5.79,0.0,2.2
468,468,ZYDUSWELL,9538.0,Food Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,False,33.55,9505.05,-3.17,-98.47,-8.34,-94.92,69.15,19.67,3.25,3.79,37.28,-23.94,0.61,5.93
469,469,GODREJAGRO,9528.0,Food Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,False,30.17,9524.05,0.93,-27.6,-8.78,-20.18,74.05,5.49,9.44,1.77,39.65,-6.58,0.0,9.63
470,470,KPIGREEN,9284.0,Power,Power,Utilities,False,61.41,9260.01,84.21,46.87,53.49,45.64,53.08,1.53,4.87,78.29,49.19,46.58,-1.75,24.66
471,471,GPIL,9271.0,Industrial Products,Capital Goods,Industrials,False,10.5,9273.49,-10.53,79.06,1.38,-10.73,63.26,2.09,5.41,-10.22,36.47,-17.52,0.0,27.49
472,472,GLS,9251.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,False,17.78,9234.87,5.93,13.13,-3.79,0.03,82.85,0.74,4.57,15.58,43.82,-24.23,0.0,29.88
473,473,NETWEB,9244.0,IT - Hardware,Information Technology,Information Technology,False,161.95,9193.84,41.91,19.97,74.78,71.8,75.45,8.05,9.69,,56.49,24.17,0.0,64.41
474,474,GNFC,9195.0,Chemicals & Petrochemicals,Chemicals,Commodities,True,13.26,9174.98,-21.89,-70.68,0.38,-46.63,41.3,7.58,20.11,-23.67,43.72,-19.06,0.12,22.89
475,475,SCI,9160.0,Transport Services,Services,Services,False,13.49,9173.93,-10.41,-46.28,22.64,224.53,63.75,7.99,3.27,-9.66,39.08,-4.4,0.0,10.29
476,476,DOMS,9145.0,Household Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,False,95.14,9107.64,22.35,46.32,-2.82,3.27,74.96,15.14,6.13,,55.36,-12.78,-25.04,34.36
477,477,USHAMART,9097.0,Industrial Products,Capital Goods,Industrials,False,21.55,9114.83,-4.38,28.07,1.58,-1.84,47.41,3.45,12.94,2.76,46.67,-9.25,-0.1,21.25
478,478,UJJIVANSFB,9001.0,Banks,Financial Services,Financial Services,False,7.16,9029.9,35.97,2.34,5.71,-8.45,73.6,3.99,3.7,40.49,37.45,-2.21,-0.06,10.63
479,479,RATEGAIN,9000.0,IT - Software,Information Technology,Information Technology,False,69.78,9012.37,82.24,205.52,7.37,34.55,51.27,18.77,8.67,80.65,46.95,-12.42,-4.45,10.2
480,480,JUBLPHARMA,8999.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,False,245.85,8998.06,8.03,525.64,-0.19,6.92,50.68,2.89,20.29,8.04,47.06,-1.23,0.0,3.13
481,481,CERA,8960.0,Consumer Durables,Consumer Durables,Consumer Discretionary,False,38.35,8897.51,-4.17,-9.74,-5.26,-10.56,54.48,8.38,20.63,9.62,34.74,-210.56,0.0,25.78
482,482,SBFC,8922.0,Finance,Financial Services,Financial Services,False,43.26,8927.59,39.29,62.86,7.12,21.69,63.73,11.94,2.23,,50.04,-2.06,-0.32,9.91
483,483,GRSE,8901.0,Aerospace & Defense,Capital Goods,Industrials,False,29.72,8945.37,32.14,38.06,2.81,9.3,74.5,6.03,2.86,27.52,47.74,-21.83,0.0,20.3
484,484,RENUKA,8833.0,Agricultural Food & other Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,False,,8854.52,18.12,-1309.15,17.98,16.49,62.48,10.1,3.22,15.02,37.84,-1.46,0.0,9.41
485,485,CRAFTSMAN,8775.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,False,27.41,8767.3,50.82,41.68,-4.19,-22.03,54.99,17.23,12.52,51.36,50.78,-122.77,0.0,20.58
486,486,SAFARI,8754.0,Consumer Durables,Consumer Durables,Consumer Discretionary,False,50.38,8599.44,28.3,24.48,4.94,7.95,45.73,20.2,13.06,36.58,43.46,-63.23,-1.24,37.49
487,487,REDTAPE,8624.0,Consumer Durables,Consumer Durables,Consumer Discretionary,False,50.86,8637.62,29.31,14.11,90.19,119.25,71.76,7.3,2.74,,58.24,-2.46,0.0,44.79
488,488,PRSMJOHNSN,8610.0,Cement & Cement Products,Construction Materials,Commodities,False,1125.95,8630.11,-2.59,93.53,-5.96,-106.26,74.87,5.1,3.91,7.64,51.07,-1.06,0.0,0.86
489,489,SYRMA,8542.0,Industrial Manufacturing,Capital Goods,Industrials,False,74.18,8559.6,37.86,-53.24,-0.7,-33.55,46.89,8.21,11.13,56.78,40.51,-15.52,-0.32,14.87
490,490,SHRIPISTON,8536.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,False,20.71,8548.75,20.4,43.41,1.88,-4.63,46.75,13.07,1.07,17.64,67.33,7.73,0.0,24.72
491,491,TV18BRDCST,8478.0,Entertainment,Media Entertainment & Publication,Consumer Discretionary,False,373.28,8503.23,-5.18,-132.5,-6.58,14.11,60.4,4.14,7.46,62.3,40.75,-2.85,0.0,2.75
492,492,MAHLIFE,8462.0,Realty,Realty,Consumer Discretionary,False,309.82,8461.21,-56.13,3878.25,361.4,364.24,51.18,23.18,8.53,20.33,42.63,-8.68,-0.01,2.09
